Object Tracking Data File Wed, Mar 02, 2022 11:55 AM
X (pixels)  	Y (pixels)  
467.00	260.00
470.63	254.70
473.32	253.59
472.18	258.37
472.90	258.97
474.37	256.66
479.10	260.02
481.19	263.89
482.78	267.08
483.01	267.09
488.36	264.71
491.59	270.75
497.84	268.50
501.43	267.65
503.49	270.87
505.31	270.51
512.15	267.50
510.02	273.93
514.93	271.07
511.84	272.55
520.45	271.67
517.40	266.90
518.98	263.96
521.08	268.70
523.78	266.52
525.19	265.10
530.72	272.55
534.10	268.61
537.96	271.81
537.75	271.68
540.25	272.89
540.25	270.42
544.21	268.57
540.45	276.75
548.13	280.23
546.92	279.59
547.61	289.82
546.11	290.55
555.67	291.05
553.74	296.83
550.94	299.80
545.90	304.76
548.33	312.50
548.19	304.72
555.00	304.07
558.71	303.24
558.03	302.44
556.85	305.62
559.42	302.37
565.59	305.19
568.93	300.77
575.34	304.68
586.06	308.93
585.33	312.75
584.33	313.17
587.30	316.54
598.10	315.60
601.11	324.33
601.16	327.82
600.20	328.28
598.22	328.71
600.14	329.91
597.69	335.53
601.42	342.61
603.88	342.91
609.30	342.10
605.62	343.75
600.15	339.12
597.76	334.35
596.61	335.34
594.10	335.71
597.96	337.89
594.80	341.98
591.99	339.68
595.58	340.67
596.10	336.47
598.88	336.10
602.58	333.12
600.23	335.50
603.40	328.95
603.40	330.26
608.68	337.03
608.06	334.40
607.75	332.60
606.32	336.02
609.15	337.05
613.11	338.16
616.29	338.21
616.82	339.76
618.42	342.40
622.63	340.30
625.50	343.80
627.58	344.18
630.45	341.11
628.10	340.63
627.06	338.74
629.29	339.67
630.67	340.15
630.61	331.83
623.89	331.28
625.11	333.88
618.28	335.69
620.23	334.63
617.15	339.22
620.37	340.27
621.09	336.92
626.53	335.48
629.70	335.83
627.47	334.12
634.56	332.08
633.90	332.69
633.33	334.44
633.02	331.82
631.58	333.00
634.27	335.84
639.23	337.81
638.99	339.66
641.16	343.35
636.42	344.72
634.71	344.52
