Object Tracking Data File Wed, Mar 02, 2022 11:56 AM
X (pixels)  	Y (pixels)  
1089.21	227.48
1088.94	228.08
1089.11	228.00
1088.88	228.16
1088.84	228.32
1088.80	228.19
1088.89	228.13
1089.13	228.13
1088.88	228.29
1088.90	228.09
1089.17	228.09
1088.58	228.25
1089.23	228.03
1089.08	227.98
1089.15	227.95
1089.48	227.66
1089.07	227.92
1088.47	228.35
1089.30	227.76
1088.49	228.19
1088.75	228.20
1088.63	228.07
1088.59	228.20
1088.82	228.05
1088.86	228.19
1089.01	227.74
1088.60	228.27
1088.85	228.11
1088.91	227.95
1089.00	227.74
1088.47	227.99
1088.52	228.23
1087.76	228.01
1087.91	228.18
1088.01	228.39
1088.56	228.11
1088.04	228.30
1087.80	228.30
1088.20	228.23
1088.10	228.28
1088.03	228.07
1088.05	228.31
1088.28	228.32
1088.19	228.31
1088.04	228.22
1088.11	228.21
1087.73	228.31
1088.54	228.05
1088.22	228.44
1088.81	227.72
1088.09	228.45
1087.98	228.21
1088.29	228.39
1088.36	228.18
1088.05	228.27
1088.18	228.15
1088.08	228.31
1088.52	227.98
1088.38	228.37
1088.41	228.26
1088.62	228.11
1089.02	227.98
1088.79	227.79
1088.64	228.01
1088.69	227.66
1088.40	228.01
1088.74	227.81
1088.57	228.16
1088.54	228.15
1084.55	226.50
1085.24	226.88
1085.56	227.19
1084.73	226.91
1084.47	227.37
1084.90	227.18
1085.82	226.95
1085.52	226.93
1085.26	227.01
1085.16	227.09
1085.27	227.29
1085.75	226.93
1085.10	227.29
1084.76	227.52
1084.79	227.38
1085.10	227.24
1084.92	227.29
1085.34	227.00
1085.18	227.45
1084.96	227.31
1085.58	227.26
1085.05	227.25
1084.72	227.64
1085.05	227.45
1085.15	227.25
1085.24	227.23
1085.46	227.26
1084.98	227.58
1085.20	227.37
1084.69	227.05
1085.27	227.03
1085.25	226.99
1085.32	227.15
1085.29	227.30
1084.57	227.23
1084.65	227.34
1085.24	226.89
1085.39	226.95
1085.34	227.24
1085.70	227.12
1085.76	226.88
1085.47	227.23
1085.87	226.81
1085.29	227.18
1085.21	227.46
1084.75	227.57
1085.07	227.23
1084.79	227.29
1084.77	227.23
1085.14	227.33
1085.70	226.93
