Object Tracking Data File Wed, Mar 02, 2022 11:43 AM
X (pixels)  	Y (pixels)  
1110.59	693.36
1115.40	692.09
1114.19	689.09
1114.30	685.18
1109.21	678.25
1106.84	674.64
1112.65	671.49
1111.61	671.54
1112.34	668.94
1113.67	669.66
1117.83	669.75
1118.05	669.44
1111.89	669.41
1116.64	675.97
1119.65	678.51
1120.33	680.16
1118.12	680.01
1118.49	674.65
1120.20	673.06
1122.42	672.06
1124.20	666.40
1114.03	667.72
1113.12	669.73
1114.59	672.74
1118.90	674.17
1116.35	669.71
1112.19	672.73
1107.20	677.66
1104.37	680.81
1100.83	681.80
1102.61	677.44
1099.37	676.37
1101.59	678.08
1095.72	672.84
1096.47	674.81
1098.12	683.06
1104.09	682.00
1102.70	685.69
1103.69	682.00
1104.13	683.86
1106.55	684.60
1107.30	682.70
1105.26	682.04
1112.80	687.01
1105.89	692.45
1104.19	696.44
1105.59	692.41
1105.64	691.54
1103.09	696.97
1091.69	707.45
1095.28	713.08
1097.59	703.28
1102.29	700.85
1100.79	695.92
1108.39	696.75
1110.88	695.44
1109.01	689.96
1105.90	685.59
1111.38	686.46
1105.21	684.95
1105.76	684.48
1109.34	687.27
1115.20	689.71
1118.33	688.45
1115.69	687.38
1120.12	696.93
1120.44	702.70
1121.96	695.00
1121.05	692.14
1121.16	691.51
1114.20	691.98
1113.86	691.06
1112.53	697.23
1112.92	700.95
1114.97	703.12
1119.70	707.21
1121.01	709.97
1122.78	708.16
1121.55	704.23
1127.63	700.46
1120.90	697.46
1123.82	695.00
1122.00	696.04
1127.29	692.72
1127.52	697.16
1125.13	694.37
1116.12	697.38
1121.26	685.80
1124.66	690.01
1126.54	685.45
1127.23	689.38
1131.20	688.41
1128.11	693.36
1128.18	699.73
1130.31	695.98
1127.25	701.12
1125.42	700.52
1125.32	700.13
1135.10	698.19
1130.97	691.36
1134.36	694.60
1140.01	700.01
1134.83	699.75
1132.51	705.82
1136.82	706.74
1140.21	713.87
1140.27	716.18
1148.15	708.25
1149.38	717.56
1143.51	714.77
1144.43	710.91
1146.10	715.44
1145.47	720.68
1144.43	723.05
1141.84	723.50
1149.71	724.63
1153.25	723.85
1149.78	724.07
1151.40	730.41
1147.17	735.43
