Object Tracking Data File Wed, Mar 02, 2022 11:45 AM
X (pixels)  	Y (pixels)  
404.89	142.67
406.76	144.27
408.61	146.88
409.53	144.09
404.93	145.96
404.10	144.08
403.54	141.53
404.21	138.68
411.11	138.85
417.12	135.97
417.04	134.83
416.60	137.50
418.96	137.31
412.55	135.41
412.66	134.60
410.71	136.10
408.44	136.87
411.76	139.22
411.30	139.15
411.19	136.93
408.14	134.79
407.43	134.69
408.08	140.53
409.17	133.46
405.77	133.10
402.93	135.71
401.74	139.65
402.09	134.95
405.52	133.47
396.46	138.46
397.00	143.52
396.52	139.91
398.05	139.98
395.62	136.30
396.87	137.93
398.46	134.13
397.50	137.03
390.91	134.29
391.56	132.72
390.35	133.84
387.50	129.83
386.07	130.38
387.25	128.24
386.31	131.25
383.63	132.28
377.37	131.89
374.74	134.06
376.27	139.26
378.15	134.90
373.51	136.17
373.94	133.66
376.06	133.24
375.93	129.51
376.26	126.41
372.18	123.76
366.93	128.93
367.85	129.39
373.65	130.60
371.82	132.44
379.84	144.12
375.44	126.38
371.05	121.50
373.25	118.80
374.06	120.85
374.31	121.60
374.48	121.02
376.52	118.86
372.95	119.46
369.18	119.75
370.95	127.60
372.04	130.17
373.18	130.26
372.73	129.11
373.72	127.73
369.33	127.97
370.10	122.61
363.18	125.51
366.25	126.26
370.58	121.37
371.82	122.25
366.85	125.03
372.08	123.19
377.25	128.25
376.03	137.25
376.94	138.53
376.02	138.02
374.83	135.95
372.82	140.14
367.39	143.76
367.15	147.63
362.98	147.49
367.16	141.23
369.08	139.19
369.35	142.38
372.02	146.39
372.77	148.69
373.90	145.28
373.51	146.14
376.98	152.50
371.87	152.63
374.95	157.34
376.81	159.46
375.57	161.42
375.41	159.83
375.37	160.82
375.20	167.86
377.80	170.57
376.10	171.07
373.14	172.56
371.13	175.18
369.04	174.04
364.82	172.89
365.12	173.47
362.72	171.61
360.68	173.96
363.66	171.47
361.28	168.27
359.61	169.82
364.18	169.61
358.94	169.42
