Object Tracking Data File Wed, Mar 02, 2022 11:57 AM
X (pixels)  	Y (pixels)  
595.24	532.23
593.95	529.81
594.01	530.25
592.08	526.84
587.88	525.16
591.91	528.78
591.33	525.52
588.01	523.46
589.95	521.57
589.91	522.80
594.20	519.16
598.76	517.75
603.43	522.49
604.28	518.77
602.53	515.70
605.59	513.98
602.42	515.10
607.47	511.20
607.47	508.09
603.47	508.92
608.43	511.70
612.24	510.40
613.03	511.55
614.58	505.16
614.94	506.28
613.10	509.93
611.96	510.45
614.55	507.71
620.70	509.68
626.13	513.78
618.07	516.87
624.57	518.86
627.41	521.00
628.51	527.05
626.90	530.28
630.27	519.29
635.99	522.59
644.82	529.50
645.39	525.92
644.20	523.63
642.75	522.29
649.08	524.02
655.20	518.16
654.39	511.36
654.25	507.76
647.81	503.55
650.96	500.24
656.09	504.95
663.21	504.95
662.78	509.49
661.39	510.89
657.64	506.82
662.03	505.22
666.86	511.43
666.29	515.63
675.44	516.14
679.66	512.84
679.18	515.06
680.91	514.56
682.33	515.46
685.94	509.92
685.72	515.63
692.28	509.15
696.37	506.36
693.18	509.12
699.55	505.77
705.41	510.86
710.35	509.23
710.79	506.69
710.18	498.77
708.13	497.12
709.65	492.18
707.10	489.44
707.40	490.30
709.67	489.03
707.49	490.34
709.12	494.07
714.16	498.28
717.80	502.45
720.26	506.18
725.96	506.23
729.09	507.92
727.27	508.93
722.99	506.70
725.73	508.05
729.06	504.40
732.72	505.26
732.24	503.24
732.15	502.91
727.93	500.28
734.30	501.63
737.84	499.60
739.33	502.45
736.54	504.76
739.18	510.80
741.73	514.49
747.28	517.73
746.49	521.12
748.55	527.93
746.10	526.11
744.10	528.98
748.73	531.47
747.78	535.20
748.33	533.61
747.39	533.56
747.47	533.62
752.78	533.52
754.18	527.70
754.41	526.64
755.24	528.14
755.12	534.37
750.85	534.46
746.73	535.39
741.61	530.72
737.42	531.85
738.48	532.23
743.49	532.43
742.39	536.24
740.88	534.79
743.21	532.42
