Object Tracking Data File Wed, Mar 02, 2022 11:27 AM
X (pixels)  	Y (pixels)  
969.57	328.65
966.89	328.98
969.57	331.12
974.28	323.43
974.09	328.93
976.98	333.83
979.74	327.61
967.89	325.33
968.68	327.09
967.92	326.64
977.57	327.37
976.71	327.71
983.94	326.70
985.54	330.92
987.99	330.48
972.39	326.83
975.93	330.81
967.58	323.00
970.42	325.31
968.95	321.35
982.11	313.45
990.18	311.00
992.53	306.26
989.40	308.27
992.41	307.35
992.12	304.70
1000.54	311.40
994.85	316.85
990.76	312.30
992.81	312.40
996.86	315.55
992.21	316.49
994.27	315.94
995.40	320.63
994.65	322.79
987.15	319.29
991.68	319.17
988.68	323.84
984.71	319.79
985.51	316.92
983.55	316.25
981.66	315.15
982.59	317.52
974.52	317.64
975.48	313.64
967.94	314.24
969.97	315.60
971.49	312.29
968.27	312.29
968.64	313.57
962.15	316.33
966.07	314.11
971.04	314.50
973.89	313.37
972.48	309.16
975.09	310.12
965.66	308.36
971.60	306.27
974.50	309.58
983.41	307.05
980.50	303.28
991.85	302.79
993.91	299.36
995.47	301.88
994.61	298.94
989.41	298.93
987.33	300.18
994.52	291.49
984.82	289.88
978.79	291.76
984.23	289.97
982.43	286.86
983.09	290.77
977.79	288.16
980.12	281.15
980.31	278.74
980.36	270.84
980.36	274.81
976.65	276.47
982.65	279.35
975.31	276.82
972.38	281.23
974.16	279.23
980.11	280.81
980.55	280.54
985.25	279.36
986.86	278.00
977.88	281.26
978.68	280.21
977.31	280.92
980.25	281.20
980.05	280.68
975.46	275.29
974.40	269.04
970.08	271.29
960.59	272.98
960.29	272.77
959.24	274.99
956.13	277.12
953.96	283.40
951.69	273.73
946.70	270.92
953.67	271.26
951.80	268.03
952.50	269.23
953.60	272.64
952.91	274.55
958.19	280.97
952.45	277.53
948.52	285.35
945.48	284.87
948.41	282.83
947.20	280.06
945.41	274.33
949.70	274.39
947.48	271.87
945.30	274.31
935.73	281.75
933.09	279.99
931.66	276.90
