Object Tracking Data File Wed, Mar 02, 2022 11:42 AM
X (pixels)  	Y (pixels)  
552.09	544.54
545.30	548.23
545.65	553.70
548.34	552.54
546.99	547.28
545.87	553.38
542.00	553.47
539.19	547.60
540.81	545.97
546.32	545.49
542.61	547.97
546.24	543.55
549.05	546.81
545.63	550.43
544.32	546.29
539.23	543.88
536.98	542.43
537.93	542.83
537.93	542.57
547.18	547.61
544.87	555.66
547.63	555.62
544.39	553.33
547.30	556.21
535.56	558.96
537.39	557.48
537.73	561.21
537.55	565.37
540.25	569.50
538.43	566.27
540.58	566.36
541.11	564.44
540.82	573.04
544.43	575.76
546.68	571.67
537.49	575.41
536.90	568.25
538.03	563.83
531.67	556.92
532.20	555.67
532.59	549.26
533.47	556.08
530.11	554.22
523.01	560.49
517.73	556.94
518.29	557.93
518.71	559.60
518.43	564.32
520.36	563.68
524.44	565.73
515.57	565.24
515.56	561.52
503.72	551.50
499.98	548.60
493.51	552.09
494.71	548.25
500.17	547.71
496.68	546.47
496.38	549.23
495.78	556.30
494.23	554.61
494.76	556.78
496.43	562.99
504.36	559.71
498.28	562.42
501.27	564.58
501.24	567.57
501.71	568.62
499.45	571.95
494.99	566.62
491.35	563.37
491.96	562.96
503.94	563.23
508.74	558.83
507.78	559.06
500.14	558.45
498.73	550.26
497.55	545.11
490.00	545.95
491.71	554.20
492.05	558.90
491.46	553.06
485.37	550.25
480.70	547.15
482.70	546.21
477.71	537.31
475.07	533.73
482.45	536.91
487.93	535.53
484.82	543.73
487.07	540.64
481.64	543.70
478.40	539.63
476.93	540.04
481.48	537.78
477.73	537.37
477.44	536.65
480.83	536.70
485.82	540.89
486.22	547.90
485.01	548.60
483.66	550.37
483.52	551.07
483.09	553.19
482.47	546.85
482.36	539.60
483.45	543.78
484.04	542.24
477.79	541.72
475.57	536.81
475.39	532.71
480.01	528.29
479.92	527.13
483.13	524.98
487.17	523.29
486.72	520.67
492.12	523.97
495.65	523.25
494.60	519.76
487.90	511.63
