Object Tracking Data File Wed, Mar 02, 2022 11:54 AM
X (pixels)  	Y (pixels)  
593.78	138.47
593.49	138.03
591.07	148.92
592.25	150.13
594.29	152.07
589.19	151.97
592.22	147.41
592.57	153.90
595.59	148.41
599.50	152.17
604.65	148.96
599.60	150.61
598.39	148.74
601.49	148.62
599.09	141.87
597.72	139.10
597.67	141.69
589.63	144.91
585.84	144.12
585.80	141.67
588.62	140.27
594.83	138.80
592.24	139.86
588.24	144.28
593.88	141.42
582.28	141.78
584.48	149.13
585.83	145.17
591.37	145.47
599.95	147.36
599.59	148.46
600.56	150.71
602.76	152.47
594.23	155.46
600.87	161.39
603.61	162.63
604.98	163.35
607.15	165.62
618.96	162.33
623.72	168.39
630.25	177.77
633.82	178.82
625.93	182.41
624.83	183.90
629.12	179.99
631.78	182.20
644.30	187.68
644.46	191.39
644.43	198.44
646.92	201.41
646.53	206.08
647.43	206.63
651.54	213.01
655.49	214.04
656.04	216.86
654.21	211.47
648.80	212.32
648.05	210.96
650.47	210.58
649.60	209.54
650.39	209.46
650.29	209.21
651.85	204.81
654.49	205.85
650.49	210.08
653.04	210.04
657.66	208.76
662.31	209.17
660.19	211.48
666.10	208.58
669.25	209.82
673.16	202.22
683.28	194.47
683.24	192.82
682.54	191.43
689.50	188.59
687.85	197.83
689.68	197.65
691.44	192.14
698.07	191.41
700.33	189.91
702.02	189.45
703.71	189.37
706.38	193.67
703.13	196.40
703.27	204.75
700.79	205.09
697.89	206.93
704.43	209.95
704.86	209.74
705.91	210.72
709.72	210.43
709.03	218.09
712.23	215.73
719.53	218.03
728.03	219.78
727.69	218.63
731.78	222.51
730.29	220.98
734.92	218.24
738.18	218.74
742.06	216.65
742.58	219.60
743.81	217.93
743.36	218.05
747.84	210.75
746.88	211.61
746.17	215.27
746.85	216.55
745.31	216.69
743.62	216.59
742.98	217.38
748.77	222.59
744.32	221.65
743.60	221.96
740.77	225.72
744.29	230.79
742.06	226.74
739.22	226.70
735.48	227.00
