Object Tracking Data File Wed, Mar 02, 2022 11:53 AM
X (pixels)  	Y (pixels)  
191.47	606.48
200.02	608.04
208.04	605.79
208.83	604.88
209.95	602.69
212.94	599.42
207.50	596.08
205.46	596.87
205.02	600.24
203.10	597.11
199.84	596.08
201.28	593.40
206.35	593.12
209.93	591.57
205.52	589.39
208.34	588.54
210.94	590.42
212.83	590.02
206.14	593.00
207.65	594.00
211.12	594.45
204.08	594.74
206.29	597.49
210.34	592.40
205.26	597.26
208.73	603.99
205.46	608.24
210.34	614.07
213.62	615.79
213.37	614.12
210.74	619.67
202.03	622.71
194.79	623.07
195.33	629.97
193.19	624.91
192.02	620.31
197.03	629.28
194.69	628.87
197.50	625.47
204.54	634.42
204.87	638.92
202.13	645.23
202.17	643.52
205.10	642.08
209.78	636.30
212.34	641.28
211.94	641.93
214.67	649.06
220.52	648.56
214.42	655.05
214.64	652.57
208.21	654.24
208.42	650.84
202.41	648.16
205.64	650.52
200.05	652.19
201.43	651.68
211.36	651.42
210.76	656.89
211.06	653.06
210.97	652.57
211.74	658.26
214.67	664.82
216.50	662.95
215.55	664.24
213.29	658.53
217.50	661.87
219.14	656.12
220.48	658.44
221.61	663.82
218.49	661.61
220.48	664.03
226.63	673.97
221.76	677.52
218.01	678.44
224.45	672.75
232.18	667.33
236.29	663.40
236.45	658.59
234.11	651.04
241.40	651.42
245.48	648.23
248.12	648.49
246.07	651.31
241.55	643.96
243.43	652.69
250.28	651.11
254.67	648.84
254.52	652.34
253.27	653.76
256.25	656.92
259.94	656.26
260.13	658.38
265.97	651.07
266.93	654.61
267.67	659.17
266.41	655.30
266.68	660.80
272.22	661.27
274.32	661.69
273.41	663.57
275.76	662.95
273.78	665.42
274.12	664.00
275.48	661.21
276.09	657.98
274.08	659.75
272.62	664.74
270.45	665.20
273.63	662.07
272.03	663.38
278.22	664.83
278.66	660.24
277.64	660.97
277.69	654.35
276.62	658.52
284.26	659.01
287.93	663.71
290.52	661.04
289.40	660.94
