Object Tracking Data File Wed, Mar 02, 2022 11:40 AM
X (pixels)  	Y (pixels)  
975.20	430.33
973.52	430.84
976.78	428.45
973.72	429.78
975.70	426.11
978.20	425.63
978.44	426.26
986.85	420.46
986.08	424.95
985.49	420.33
985.87	417.19
984.59	415.34
986.13	414.51
992.03	412.28
994.54	410.17
998.09	404.89
997.33	408.12
998.31	404.03
996.36	407.59
996.60	405.49
995.02	409.65
992.38	403.51
993.93	404.95
996.33	405.57
990.82	402.28
989.83	399.98
994.84	402.59
995.34	405.38
997.72	415.61
999.34	419.61
1001.87	419.79
1001.88	422.76
998.24	424.04
997.81	424.09
1000.12	429.04
994.50	432.27
991.19	431.71
988.76	433.51
985.16	430.16
986.25	425.73
988.33	424.99
990.01	426.18
991.18	421.91
990.61	418.69
987.70	414.98
989.42	418.59
990.72	421.38
988.95	417.27
988.51	415.90
990.67	414.64
988.06	411.36
988.77	412.88
989.51	409.23
992.05	404.96
993.50	404.76
994.02	407.03
993.18	403.83
995.76	399.29
996.16	396.64
996.65	400.88
992.11	392.49
998.16	388.03
994.89	385.71
991.15	386.83
995.08	385.03
994.80	387.45
992.19	388.58
986.15	386.03
986.41	383.08
982.26	382.86
988.80	383.63
990.79	384.66
991.49	390.17
990.36	390.08
993.80	387.78
994.58	387.97
996.49	389.62
993.75	386.48
988.74	383.17
987.95	382.71
985.27	379.23
983.54	379.71
977.77	380.54
968.35	382.37
967.75	382.20
965.33	382.39
968.33	383.40
974.85	386.01
972.23	387.66
971.73	389.58
974.92	387.69
976.42	382.63
978.40	376.99
984.19	374.84
984.57	372.51
981.47	370.28
985.21	372.61
981.22	368.93
980.41	367.03
983.17	372.20
981.72	373.30
983.20	377.82
986.38	380.44
981.93	378.14
979.13	380.17
975.37	381.90
979.45	378.46
976.96	374.66
976.63	371.85
978.33	370.97
987.43	367.32
996.41	364.68
998.60	357.57
998.39	362.25
999.63	361.05
998.61	357.78
1000.39	364.01
1000.31	363.54
1004.09	363.24
1004.08	364.26
