Object Tracking Data File Wed, Mar 02, 2022 11:46 AM
X (pixels)  	Y (pixels)  
252.71	276.45
255.91	277.96
248.41	279.67
245.87	285.48
247.45	284.01
249.43	284.90
246.78	284.21
242.07	284.02
241.60	278.50
238.29	281.61
232.06	283.30
227.12	286.24
227.98	285.23
229.86	284.29
240.80	288.15
245.09	291.68
247.37	291.23
246.94	293.62
240.53	286.43
240.15	283.51
238.95	285.42
243.30	282.96
242.51	278.65
244.63	278.78
246.48	276.09
247.98	267.92
239.67	269.05
237.51	265.26
238.77	264.74
240.65	257.78
238.21	261.51
234.27	260.51
236.68	261.94
233.91	261.99
232.38	267.18
235.62	271.08
242.49	269.90
247.09	271.05
237.38	275.07
236.58	274.40
232.17	271.71
234.65	270.72
233.90	271.98
232.39	274.44
235.35	269.38
237.46	274.15
235.20	277.99
234.30	275.75
242.84	282.23
238.12	280.17
236.29	280.32
230.99	279.70
229.57	280.83
234.93	281.28
233.41	285.07
232.60	284.58
229.21	285.22
225.72	283.12
225.46	280.30
229.24	282.13
234.84	278.88
236.17	285.89
230.41	287.81
234.13	282.53
231.22	282.37
229.61	281.99
229.56	280.18
230.16	276.69
238.45	281.33
243.58	284.22
248.54	286.09
243.69	282.80
238.14	281.69
238.85	279.40
238.47	277.10
242.48	279.47
240.81	279.48
240.17	279.77
236.34	277.55
235.83	273.97
235.47	271.78
231.94	269.34
225.04	266.30
224.21	265.15
222.07	262.52
224.35	263.99
224.20	270.47
226.38	269.69
223.29	267.16
218.92	267.08
217.96	264.67
217.84	265.23
222.33	264.54
219.22	264.62
217.15	266.68
216.98	263.72
219.71	263.08
221.87	256.17
223.42	259.32
228.06	256.39
236.04	250.55
238.35	250.55
239.12	255.72
243.00	249.35
243.70	248.21
245.55	250.51
250.13	252.80
246.98	255.48
246.61	250.83
251.79	248.71
257.07	251.94
254.06	250.23
252.94	256.20
249.85	256.93
251.13	262.03
251.58	265.12
250.47	267.27
245.89	269.22
244.84	264.76
239.46	262.80
