Object Tracking Data File Wed, Mar 02, 2022 11:57 AM
X (pixels)  	Y (pixels)  
232.13	440.09
240.95	446.68
239.87	452.64
240.76	452.97
243.95	451.15
245.00	450.37
248.63	454.75
246.41	462.05
256.42	471.15
259.16	467.76
255.63	472.33
262.25	476.07
262.00	479.41
270.19	486.25
276.81	483.37
284.31	490.27
280.01	487.51
276.32	485.53
281.13	490.00
285.15	495.27
286.26	501.76
292.96	503.12
291.35	505.96
296.33	503.67
301.82	501.76
302.76	506.81
301.83	500.97
300.50	504.10
300.29	505.53
303.75	504.36
306.52	505.03
308.87	513.06
314.61	518.71
311.20	511.38
314.66	508.07
316.30	509.76
317.71	509.49
320.89	515.66
318.72	516.92
329.47	521.39
335.06	519.15
341.50	518.95
344.41	523.25
350.73	522.56
350.92	528.21
349.50	525.78
355.00	531.98
365.62	532.20
366.27	531.53
369.94	539.28
369.40	541.08
369.65	541.51
368.03	535.36
374.46	525.10
383.10	533.67
388.90	538.62
391.89	539.17
400.15	538.14
399.10	543.05
402.12	548.81
400.39	544.39
409.12	541.56
412.98	541.68
419.78	540.35
421.56	543.14
428.87	543.27
429.98	540.79
427.49	537.18
432.26	539.12
427.58	538.49
431.51	539.84
424.94	545.34
425.45	549.93
429.09	551.51
425.42	554.36
431.64	556.19
433.36	554.86
434.79	556.72
434.11	559.62
440.73	562.76
440.97	565.73
441.32	567.07
443.78	564.92
447.19	567.34
441.97	564.61
444.80	561.62
448.61	560.22
447.68	563.17
446.48	558.24
446.84	561.34
445.63	559.09
448.79	554.28
451.33	552.84
451.26	555.57
449.28	552.26
451.16	556.73
452.90	559.36
451.21	560.49
448.18	555.60
448.88	550.64
447.79	549.44
451.30	547.06
453.96	542.30
457.74	537.05
457.05	543.36
457.87	541.65
459.73	539.85
459.63	538.72
461.69	534.94
464.35	533.85
461.12	536.67
468.46	527.37
466.37	528.35
466.06	529.49
464.86	532.67
468.75	533.61
458.61	530.73
458.01	528.35
457.86	528.57
458.54	528.49
