Object Tracking Data File Wed, Mar 02, 2022 11:41 AM
X (pixels)  	Y (pixels)  
330.19	247.32
333.58	245.02
329.83	252.79
326.03	253.92
324.19	247.23
322.74	239.96
322.67	239.95
319.43	243.01
318.12	241.40
318.90	239.36
319.62	240.25
316.86	242.22
322.09	245.05
323.45	247.00
322.76	244.25
245.01	239.27
232.50	238.67
233.77	241.79
235.10	239.66
239.39	241.83
311.13	238.84
325.80	233.99
326.06	233.96
328.37	240.59
329.60	241.80
332.52	239.86
330.75	233.41
329.01	227.52
326.06	227.35
329.65	227.12
334.47	229.80
333.27	226.69
333.24	222.53
336.43	218.41
331.61	219.00
333.38	216.33
330.56	219.31
333.25	228.84
331.34	226.89
329.36	222.34
329.07	221.97
329.66	219.23
332.37	218.89
335.76	215.74
337.43	213.31
331.15	206.25
333.26	203.89
326.72	203.74
324.83	199.68
317.21	196.49
315.70	195.07
315.17	196.99
312.25	202.96
314.28	201.85
314.02	207.31
314.36	215.11
317.04	212.54
312.54	215.49
308.58	211.64
307.49	216.86
307.37	221.31
317.28	221.53
317.32	222.81
316.03	214.88
311.17	213.27
316.80	212.84
314.44	217.20
319.43	215.01
320.67	220.18
321.38	216.14
317.07	210.27
320.88	207.42
320.58	209.39
314.15	206.42
308.79	201.14
308.80	196.20
309.34	195.66
309.63	191.54
304.39	187.65
303.63	187.99
306.16	190.96
307.71	189.02
305.71	184.13
302.07	186.93
301.52	186.90
301.15	185.36
300.72	184.87
302.38	185.35
306.81	186.02
300.89	183.74
303.42	181.32
305.17	184.18
303.06	181.91
298.68	178.31
297.80	176.83
291.72	171.18
296.03	173.37
298.11	169.28
301.71	166.94
301.06	163.61
295.08	164.59
295.57	164.35
292.82	161.24
292.35	161.95
297.85	167.26
297.45	163.08
297.11	162.01
299.69	161.25
302.32	164.81
299.71	162.33
293.25	167.39
295.21	164.58
288.80	168.37
290.25	169.46
286.29	172.50
286.35	171.59
289.97	171.57
291.74	167.24
293.79	170.71
291.57	168.41
