Object Tracking Data File Wed, Mar 02, 2022 11:43 AM
X (pixels)  	Y (pixels)  
122.26	372.04
117.63	373.01
115.42	368.52
112.32	370.90
115.74	373.76
118.79	378.36
113.58	384.61
119.23	380.31
118.99	383.25
121.18	389.08
122.99	392.55
126.91	388.80
124.29	389.37
126.57	388.85
128.16	396.92
133.47	399.50
138.45	399.45
141.85	402.20
143.30	397.15
141.70	400.89
141.33	398.64
144.33	401.63
145.15	402.85
146.99	402.61
147.36	399.66
151.10	402.24
148.31	399.67
144.25	401.93
136.56	397.90
139.96	398.95
140.37	399.17
147.14	396.67
156.78	398.39
162.18	404.10
165.24	402.21
166.71	403.10
168.16	401.51
170.07	412.20
173.62	414.75
173.25	417.09
175.11	416.99
176.72	413.60
174.64	403.96
176.91	395.16
175.14	397.77
175.66	392.08
176.68	396.03
178.28	392.45
184.91	386.98
189.85	378.32
190.85	371.53
188.91	376.03
187.70	373.29
186.01	377.21
184.43	380.30
182.58	383.77
185.88	382.04
189.12	379.25
188.37	384.46
185.62	388.00
187.64	389.51
182.59	388.43
180.21	392.70
177.03	397.42
183.14	398.38
183.65	401.64
183.53	398.73
183.71	398.79
184.56	396.72
179.72	388.93
180.88	394.11
182.60	391.78
183.79	398.76
186.23	398.10
180.80	396.13
186.56	393.15
184.75	388.62
186.32	390.13
189.29	387.61
186.05	388.44
180.97	386.12
180.11	390.62
180.71	395.77
182.92	396.66
177.64	401.99
180.83	404.77
183.08	402.77
183.19	406.02
182.44	410.13
180.33	407.64
178.84	412.88
179.71	409.07
181.26	409.27
179.77	407.01
177.23	403.45
178.51	404.55
179.89	398.80
179.15	390.50
178.20	387.53
184.06	383.31
186.60	383.05
190.91	388.71
192.95	390.12
190.23	393.32
181.42	392.85
178.31	394.43
180.73	406.11
175.95	405.18
177.74	401.04
177.58	405.39
177.93	402.91
182.19	394.03
180.45	394.02
183.25	394.91
179.97	399.58
180.94	397.44
189.45	402.62
190.68	402.07
184.85	402.32
181.24	403.12
